#Procedure: <SS9Procedure.SS9Procedure>,,,,,,,,,,
#Parameters:,,,,,,,,,,
"#	Maximum Temp.: 300 K",,,,,,,,,,
"#	Delay Time: 1 s",,,,,,,,,,
"#	Field Strength: 0 T",,,,,,,,,,
"#	MM1 Address: USB0::0x05E6::0x2110::1421999::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 10 SI",,,,,,,,,,
"#	MM2 Address: USB0::0x05E6::0x2110::8015516::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 10 SI",,,,,,,,,,
"#	MM3 Address: USB0::0x05E6::0x2110::1421483::INSTR",,,,,,,,,,
"#	Voltage: False",,,,,,,,,,
"#	Range: 0.1 SI",,,,,,,,,,
"#	MM4 Adress: USB0::0x05E6::0x2110::1422148::INSTR",,,,,,,,,,
"#	Voltage: True",,,,,,,,,,
"#	Range: 0.1 SI",,,,,,,,,,
"#	Number of Averages: 1",,,,,,,,,,
"#	Your Name: connor",,,,,,,,,,
#Data:,,,,,,,,,,
elapsed_time,T,T_err,MM1_reading,MM1_error,MM2_reading,MM2_error,MM3_reading,MM3_error,MM4_reading,MM4_error
114.6250632,158.520401,0,0.216160789,0,0.206029221,0,0.020737968,0,-9.78E-05,0
116.3175225,158.5256348,0,0.216150969,0,0.206004336,0,0.020738013,0,-5.08E-05,0
118.0348625,158.881012,0,0.216124042,0,0.205991491,0,0.020740112,0,-5.56E-05,0
119.7636681,158.8548889,0,0.216071456,0,0.205933019,0,0.020738242,0,-5.42E-05,0
121.5053542,158.7818909,0,0.216023966,0,0.205866977,0,0.020737369,0,6.34E-05,0
123.2014053,158.8027954,0,0.216055035,0,0.205888181,0,0.020739922,0,6.50E-05,0
124.8859119,158.8862305,0,0.216017901,0,0.205829814,0,0.020738691,0,6.54E-05,0
126.5717502,158.907135,0,0.215989813,0,0.205823794,0,0.020740276,0,6.78E-05,0
128.2580626,158.9698029,0,0.215957835,0,0.20581144,0,0.020741314,0,6.63E-05,0
129.9434278,159.0272522,0,0.215946659,0,0.205823436,0,0.020741154,0,-9.73E-05,0
131.6302598,159.0898895,0,0.21590048,0,0.205771133,0,0.020740399,0,-5.58E-05,0
133.3544505,159.1420746,0,0.215877249,0,0.205744937,0,0.02074063,0,-5.18E-05,0
135.0684538,159.1786041,0,0.215852826,0,0.205718904,0,0.020741332,0,6.58E-05,0
136.7543294,159.2255554,0,0.215859249,0,0.205698728,0,0.020740099,0,6.10E-05,0
138.443001,159.2931976,0,0.215785756,0,0.205645516,0,0.020740813,0,6.44E-05,0
140.1307642,159.3296967,0,0.215768143,0,0.205648124,0,0.020740051,0,6.41E-05,0
141.8171065,159.3453369,0,0.21575281,0,0.205623105,0,0.020741625,0,6.41E-05,0
143.5160501,159.3557739,0,0.215759187,0,0.205616623,0,0.020742591,0,6.63E-05,0
145.2019157,159.3818359,0,0.215747281,0,0.205586254,0,0.020742761,0,6.66E-05,0
146.9138961,159.3870544,0,0.215706035,0,0.205565348,0,0.020742204,0,-0.000104786,0
148.6104617,159.4078979,0,0.21567218,0,0.205522254,0,0.020741859,0,-6.69E-05,0
150.336122,159.3974762,0,0.215640842,0,0.205513313,0,0.020743985,0,-5.18E-05,0
152.0658343,159.3818359,0,0.215621799,0,0.205500736,0,0.020742277,0,-5.63E-05,0
153.8063459,159.3818359,0,0.215603068,0,0.205467224,0,0.020742256,0,6.34E-05,0
155.4948275,159.3766174,0,0.215605512,0,0.205481186,0,0.020746225,0,6.89E-05,0
157.1810195,159.3766174,0,0.215581879,0,0.205418139,0,0.020743625,0,6.42E-05,0
158.8673925,159.3557739,0,0.215539589,0,0.205414041,0,0.020742647,0,6.15E-05,0
160.5543478,159.3557739,0,0.215511918,0,0.205359354,0,0.020742994,0,5.91E-05,0
162.2403882,159.3349152,0,0.215475678,0,0.205354675,0,0.020742295,0,5.81E-05,0
